beat_number,audio_seconds,frame_30fps,timecode_30fps,attack_strength,evidence
1,0.053,2,00:00:00:02,0.325,weak/interpolated
2,0.712,21,00:00:00:21,0.644,attack-aligned
3,1.42,43,00:00:01:13,0.494,attack-aligned
4,2.108,63,00:00:02:03,0.496,attack-aligned
5,2.727,82,00:00:02:22,0.656,attack-aligned
6,3.435,103,00:00:03:13,0.827,attack-aligned
7,4.114,123,00:00:04:03,0.727,attack-aligned
8,4.733,142,00:00:04:22,0.577,attack-aligned
9,5.421,163,00:00:05:13,0.601,attack-aligned
10,6.169,185,00:00:06:05,0.863,attack-aligned
11,6.908,207,00:00:06:27,0.691,attack-aligned
12,7.566,227,00:00:07:17,0.799,attack-aligned
13,8.245,247,00:00:08:07,0.898,attack-aligned
14,8.953,269,00:00:08:29,0.691,attack-aligned
15,9.751,293,00:00:09:23,0.609,attack-aligned
16,10.469,314,00:00:10:14,0.491,attack-aligned
17,11.118,334,00:00:11:04,0.734,attack-aligned
18,11.796,354,00:00:11:24,0.698,attack-aligned
19,12.555,377,00:00:12:17,0.804,attack-aligned
20,13.213,396,00:00:13:06,0.606,attack-aligned
21,13.862,416,00:00:13:26,0.624,attack-aligned
22,14.59,438,00:00:14:18,0.763,attack-aligned
23,15.308,459,00:00:15:09,0.663,attack-aligned
24,16.007,480,00:00:16:00,0.647,attack-aligned
25,16.695,501,00:00:16:21,0.65,attack-aligned
26,17.384,522,00:00:17:12,0.919,attack-aligned
27,18.152,545,00:00:18:05,0.702,attack-aligned
28,18.791,564,00:00:18:24,0.603,attack-aligned
29,19.459,584,00:00:19:14,1.0,attack-aligned
30,20.167,605,00:00:20:05,0.691,attack-aligned
31,20.896,627,00:00:20:27,0.569,attack-aligned
32,21.554,647,00:00:21:17,0.437,attack-aligned
